Name,Condition,Condition(Numeric),Mg,Al,Zn,Mn,Ce,La,Nd,Pr,Sn,Ca,Zr,Ag,Ho,Y,Gd,Cu,Si,Li,Yb,Th,Sb,Ga,Tb,Dy,Fe,UTS,YS,Ductility
MN11(1),Extrusion (slow),1,98.11,0.00,0.00,0.95,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214,151,36
Mg-Zn-Mn,Extrusion (fast),1,98.11,0.00,0.00,0.95,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,196,102,41.7
Mg-Zn-Mn-Sn (1),Extrusion,1,93.09,0.00,5.96,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312,215,11
Mg-Zn-Mn-Sn (2),Extrusion,1,91.82,0.00,6.05,0.95,0.00,0.00,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,321,242,13
Mg-Zn-Mn-Sn (3),Extrusion,1,90.56,0.00,6.17,0.98,0.00,0.00,0.00,0.00,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,323,250,12.5
Mg-Zn-Mn-Sn (4),Extrusion,1,88.70,0.00,5.91,0.93,0.00,0.00,0.00,0.00,4.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,326,252,10.8
Mg-Zn-Mn-Sn (5),Extrusion,1,87.19,0.00,6.05,0.92,0.00,0.00,0.00,0.00,5.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330,262,10
Mg-Zn-Mn-Sn (6),Extrusion,1,84.85,0.00,6.24,0.85,0.00,0.00,0.00,0.00,8.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325,255,8
Mg-Zn-Ca-Zr,Extrusion,1,83.55,0.00,5.94,0.95,0.00,0.00,0.00,0.00,9.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,326,274,6
GW123,Extrusion(300C),1,97.50,0.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,302,289,6.2
Mg-Sn,Extrusion,1,84.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,3.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,446,350,10.2
TX21,Extrusion(260C),1,98.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230,157,16
TX21 (1),As cast,3,96.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.05,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92,59,2.5
